STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/1/2023,14.54,",,W",,,0,",,W,2400",,,62,",,W",45,",,W",260,",,W",280,",,W",25.1,",,W",38,",,W",,,,,,,,
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/2/2023,6.04,",,W",,,0.05,",,W,2400",,,56,",,W",43,",,W",100,",,W",110,",,W",16.1,",,W",19.9,",,W",,,,,,,,
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/3/2023,5.14,",,W",,,0,"T,,W,2400",,,62,",,W",51,",,W",110,",,W",110,",,W",13,",,W",18.1,",,W",1,",,W",,,,,1,",,W"
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/4/2023,15.88,",,W",,,0.69,",,W,2400",,,62,",,W",58,",,W",100,",,W",110,",,W",28,",,W",38,",,W",1,",,W",,,,,,
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/5/2023,10.29,",,W",,,0.5,",,W,2400",,,63,",,W",47,",,W",90,",,W",80,",,W",30,",,W",38,",,W",1,",,W",,,,,1,",,W"
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/6/2023,2.68,",,W",,,0,",,W,2400",,,62,",,W",41,",,W",230,",,W",230,",,W",10.1,",,W",13,",,W",,,,,,,,
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/7/2023,2.91,",,W",,,0,",,W,2400",,,64,",,W",44,",,W",70,",,W",70,",,W",12.1,",,W",14.1,",,W",,,,,,,,
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/8/2023,6.71,",,W",,,0.28,",,W,2400",,,62,",,W",49,",,W",90,",,W",90,",,W",14.1,",,W",17,",,W",1,",,W",,,,,1,",,W"
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/9/2023,12.75,",,W",,,4.22,",,W,2400",,,63,",,W",57,",,W",110,",,W",120,",,W",23,",,W",33.1,",,W",1,",,W",,,,,1,",,W"
USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249,2.5,1/10/2023,6.71,",,W",,,0.33,",,W,2400",,,62,",,W",52,",,W",250,",,W",250,",,W",25.9,",,W",34,",,W",1,",,W",,,,,,
